status,timestamp_ms,rtc_iso8601,rtc_unix,pressure_hpa,temperature_c,altitude_m,acc_x,acc_y,acc_z,pitch_deg,yaw_deg,roll_deg,aspd_status,aspd_pressure_pa,aspd_temp_c,aspd_airspeed_mps,mpxv_adc,mpxv_v_adc,mpxv_v_sensor,hx711_raw,gnss_lat,gnss_lon,gnss_alt_m,gnss_fix,gnss_siv,esc_time_ms,esc_throttle,esc_current_a,esc_voltage_v,esc_mah,esc_temp_c,esc_power_pct,esc_vbec_v,esc_rpm,esc_err,pressure_hpa_f,temperature_c_f,altitude_m_f,aspd_pressure_pa_f,aspd_temp_c_f,aspd_airspeed_mps_f,mpxv_adc_f,mpxv_v_adc_f,mpxv_v_sensor_f,hx711_f,gnss_lat_f,gnss_lon_f,gnss_alt_m_f,esc_throttle_f,esc_current_a_f,esc_voltage_v_f,esc_temp_c_f,esc_power_pct_f,esc_vbec_v_f,esc_rpm_f,acc_x_raw,acc_y_raw,acc_z_raw,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,lin_x,lin_y,lin_z,grav_x,grav_y,grav_z,acc_x_f,acc_y_f,acc_z_f,gyro_x_f,gyro_y_f,gyro_z_f,mag_x_f,mag_y_f,mag_z_f,lin_x_f,lin_y_f,lin_z_f,grav_x_f,grav_y_f,grav_z_f,mw_roll_deg,mw_pitch_deg,mw_yaw_deg,roll_raw,pitch_raw,yaw_raw,ekf_flags,ekf_x_m,ekf_y_m,ekf_z_m,ekf_vx_mps,ekf_vy_mps,ekf_vz_mps,ekf_speed_mps,ekf_pos_h_unc_m,ekf_pos_v_unc_m,ekf_vel_unc_mps,ekf_lat,ekf_lon,ekf_alt_m,imu_samples,imu_lin_rms_mps2,imu_gyro_rms_rps,imu_lin_max_mps2,imu_gyro_max_rps,imu_reset_count,imu_acc_accuracy,imu_gyro_accuracy,imu_mag_accuracy,imu_lin_accuracy,imu_grav_accuracy,imu_quat_accuracy,imu_quat_rad_accuracy,gnss_h_acc_m,gnss_v_acc_m,gnss_speed_acc_mps,gnss_heading_deg,gnss_heading_acc_deg,log_dt_ms,log_overrun_count,sd_write_error_count,baro_age_ms,gnss_age_ms,airspeed_age_ms,esc_age_ms
LOGGING,407982,2026-04-06T17:57:59,1775498279,993.76,33.53,163.54,1.272,1.797,9.227,0,-1.69,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,993.76,33.51,163.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.301,1.801,9.195,0,0,0,-3.688,29.312,44.312,-0.008,-0.035,-0.047,1.266,1.797,9.234,1.272,1.797,9.227,0,0,0,-3.868,34.191,44.799,0,0,0,1.27,1.8,9.23,0.22,0.88,3.25,11.01,-7.68,-26.78,9,0,0,101.586,0,0,0.998,1,7.07,3.08,6.93,0,0,101.59,4,0.004,0,0.0049,0,0,2,0,3,3,3,3,0.0483,0,0,0,0,0,0,6,0,1,-1,-1,-1
LOGGING,408024,2026-04-06T17:57:59,1775498279,993.76,33.53,163.54,1.273,1.797,9.225,0,-1.75,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,993.76,33.51,163.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.301,1.801,9.195,0,0,0,-3.688,29.312,44.312,-0.008,0.004,-0.047,1.273,1.797,9.242,1.273,1.797,9.225,0,0,0,-3.868,34.191,44.799,0,0,-0.01,1.27,1.8,9.23,0.22,0.88,3.27,11.01,-7.68,-26.78,9,0,0,101.628,0,0,0.997,1,7.08,3.08,6.93,0,0,101.63,1,0.0083,0,0.0083,0,0,2,0,3,3,3,3,0.0483,0,0,0,0,0,42,6,0,43,-1,-1,-1
LOGGING,408061,2026-04-06T17:57:59,1775498279,993.76,33.53,163.54,1.275,1.797,9.228,0,-1.78,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,993.76,33.51,163.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.301,1.801,9.266,0,0,0,-3.688,29.312,44.312,-0.008,0.004,-0.047,1.273,1.797,9.242,1.275,1.797,9.228,0,0,0,-3.868,34.191,44.799,0,0,-0.01,1.27,1.8,9.23,0.24,0.97,3.6,11.01,-7.68,-26.78,9,0,0,110.351,0,0,3.838,3.84,7.09,2.87,6.92,0,0,110.35,2,0.0083,0,0.0083,0,0,2,0,3,3,3,3,0.0483,0,0,0,0,0,37,6,0,1,-1,-1,-1
LOGGING,408102,2026-04-06T17:57:59,1775498279,993.76,33.53,163.54,1.276,1.797,9.23,0,-1.86,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,993.76,33.51,163.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.227,1.762,9.266,0,0,0,-3.688,29.312,44.312,0.027,0.004,-0.012,1.273,1.797,9.242,1.276,1.797,9.23,0,0,0,-3.868,34.191,44.799,0,0,0,1.27,1.8,9.24,0.26,1.05,3.88,11.01,-7.68,-26.82,9,0,0,110.5,0,0,3.839,3.84,7.11,2.88,6.92,0,0,110.5,4,0.0047,0,0.0054,0,0,2,0,3,3,3,3,0.0491,0,0,0,0,0,41,6,0,42,-1,-1,-1
LOGGING,408153,2026-04-06T17:57:59,1775498279,993.76,33.53,163.56,1.273,1.796,9.235,0,-1.99,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,993.76,33.51,163.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,1.801,9.23,0,0,0,-3.375,29.688,44.812,-0.008,0.004,-0.004,1.273,1.797,9.234,1.273,1.796,9.235,0,0,0,-3.855,34.076,44.799,0,0,-0.01,1.27,1.8,9.24,0.3,1.19,4.38,11.01,-7.68,-26.83,9,0,0,114.119,0,-0.001,6.872,6.87,7.15,2.81,6.89,0,0,114.12,3,0.0052,0,0.0054,0,0,2,0,3,3,3,3,0.0496,0,0,0,0,0,51,6,0,2,-1,-1,-1
LOGGING,408196,2026-04-06T17:57:59,1775498279,993.76,33.53,163.56,1.272,1.797,9.23,0,-2.09,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,993.76,33.51,163.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,1.801,9.195,0,0,0,-3.375,29.688,44.812,-0.008,0.004,-0.039,1.273,1.797,9.234,1.272,1.797,9.23,0,0,0,-3.849,34.018,44.799,0,0,-0.01,1.27,1.8,9.24,0.33,1.3,4.76,11.01,-7.69,-26.85,9,0,0,114.404,0,-0.001,6.873,6.87,7.19,2.84,6.9,0,0,114.4,2,0.0089,0,0.0089,0,0,2,0,3,3,3,3,0.0496,0,0,0,0,0,43,6,0,45,-1,-1,-1
LOGGING,408243,2026-04-06T17:57:59,1775498279,993.76,33.53,163.57,1.271,1.802,9.227,-0.01,-2.12,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,993.76,33.52,163.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,1.801,9.195,0,0,0,-3.375,29.688,44.812,-0.008,0.043,0.035,1.273,1.797,9.234,1.271,1.802,9.227,0,0,0,-3.849,34.018,44.799,0,0,0,1.27,1.8,9.24,0.33,1.31,4.8,11.01,-7.68,-26.86,9,0,0,116.656,0,-0.001,9.54,9.54,7.24,2.81,6.84,0,0,116.66,3,0.0076,0,0.0084,0,0,2,0,3,3,3,3,0.05,0,0,0,0,0,47,6,0,1,-1,-1,-1
LOGGING,408287,2026-04-06T17:57:59,1775498279,993.76,33.53,163.57,1.27,1.801,9.223,-0.01,-2.17,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,993.76,33.52,163.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,1.801,9.16,0,0,0,-3.375,29.688,44.812,-0.008,0.004,-0.078,1.273,1.797,9.234,1.27,1.801,9.223,0,0,0,-3.849,34.018,44.799,0,0.01,0,1.27,1.8,9.24,0.36,1.41,5.18,11.01,-7.68,-26.86,9,0,0,117.047,0,-0.001,9.542,9.54,7.3,2.85,6.84,0,0,117.05,2,0.0086,0,0.01,0,0,2,0,3,3,3,3,0.05,0,0,0,0,0,44,6,0,45,-1,-1,-1
LOGGING,408327,2026-04-06T17:57:59,1775498279,993.76,33.53,163.57,1.269,1.797,9.216,-0.01,-2.21,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,993.76,33.52,163.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,1.801,9.195,0,0,0,-4.125,30.438,44.75,-0.008,0.004,-0.078,1.273,1.797,9.227,1.269,1.797,9.216,0,0,0,-3.854,33.95,44.798,0,0.01,-0.01,1.27,1.8,9.23,0.39,1.51,5.55,11.01,-7.68,-26.86,9,0,0,118.61,0,-0.001,11.49,11.49,7.36,2.82,6.76,0,0,118.61,2,0.01,0,0.01,0,0,2,0,3,3,3,3,0.05,0,0,0,0,0,40,6,0,2,-1,-1,-1
LOGGING,408365,2026-04-06T17:57:59,1775498279,993.76,33.53,163.57,1.269,1.797,9.215,-0.01,-2.24,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,993.76,33.52,163.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,1.801,9.195,0,0,0,-4.125,30.438,44.75,-0.008,0.004,0.043,1.273,1.797,9.227,1.269,1.797,9.215,0,0,0,-3.859,33.883,44.797,0,0.01,0,1.27,1.8,9.23,0.39,1.51,5.55,11.01,-7.68,-26.86,9,0,0,119.057,0,0,11.493,11.49,7.42,2.87,6.77,0,0,119.06,1,0.0067,0,0.0067,0,0,2,0,3,3,3,3,0.05,0,0,0,0,0,38,6,0,40,-1,-1,-1
